Title,URL,Video ID,Channel
Fingers Inc - A Path (Club Mix),https://www.youtube.com/watch?v=Rk5iTNm54g8,Rk5iTNm54g8,UNDERGROUND CLASSICS HOUSE
Fingers Inc - Its Over (1986),https://www.youtube.com/watch?v=qAcTeNOdfZY,qAcTeNOdfZY,Classic Wax
Distant Planet,https://www.youtube.com/watch?v=ofLHH4CwUIQ,ofLHH4CwUIQ,Fingers Inc. - Topic
Fingers Inc  Distant Planet,https://www.youtube.com/watch?v=qa3YBDXY7c4,qa3YBDXY7c4,WJMTV
Hush Hush - Fingers Inc,https://www.youtube.com/watch?v=8y_NOM1KzZg,8y_NOM1KzZg,QCK Records
Fingers Inc - Bye Bye,https://www.youtube.com/watch?v=x9SD81YpRug,x9SD81YpRug,I Love USA
Never No More Lonely,https://www.youtube.com/watch?v=ewh8f1B6lR4,ewh8f1B6lR4,Fingers Inc. - Topic
Fingers Inc Never no more lonely,https://www.youtube.com/watch?v=AexFISvKnyM,AexFISvKnyM,Chicagowax
Mr Fingers ((Mystery Of Love)) Original Version 1985,https://www.youtube.com/watch?v=Z9o2v3SA1Co,Z9o2v3SA1Co,side A side B
Larry Heard  unknown radio (1996),https://www.youtube.com/watch?v=xPG2s7HYktk,xPG2s7HYktk,House Tape
The It [Larry Heard  Harry Dennis] - Rainforest Serenade (Long Version),https://www.youtube.com/watch?v=tTRx5VNuP6Y,tTRx5VNuP6Y,Lucas Music
Praise,https://www.youtube.com/watch?v=cnV0Y7pja3E,cnV0Y7pja3E,Mr. Fingers - Topic
The It (Harry Dennis  Larry Heard) - Screams Of Pain,https://www.youtube.com/watch?v=-36zF6lyn_I,-36zF6lyn_I,tevz
Fingers N Flowers - Between Us (Vocal) [ML2244],https://www.youtube.com/watch?v=5l96HB_KMLI,5l96HB_KMLI,Electronic Love Collective
Reel It In (Fingers Remix),https://www.youtube.com/watch?v=ygSuhYRgpUo,ygSuhYRgpUo,Release - Topic
Larry Heard - Dance 2000 (Full Album),https://www.youtube.com/watch?v=5nNdxfHPldc,5nNdxfHPldc,Open Your Eyes
Deja Vu,https://www.youtube.com/watch?v=YmLFlhQMDUQ,YmLFlhQMDUQ,Mr. Fingers - Topic
Larry Heard - Sceneries Not Songs Volume 1,https://www.youtube.com/watch?v=GTPwXIxaJEw,GTPwXIxaJEw,PAKUZOW
Larry Heard - Enchanted,https://www.youtube.com/watch?v=ZPhrxJ5e48Y,ZPhrxJ5e48Y,Namia Gihouse Deepful
Larry Heard - Sceneries Not Songs Volume 2 (1995),https://www.youtube.com/watch?v=FlYHRoiX4Rc,FlYHRoiX4Rc,Ilja
Larry Heard - Where Life Begins (Full Album),https://www.youtube.com/watch?v=eJNInn3H1Ds,eJNInn3H1Ds,thearchiveperson
Larry Heard - Alien (1996),https://www.youtube.com/watch?v=rdp3_VVdtDQ,rdp3_VVdtDQ,Ilja
The Larry Heard Finger Print (A Deep Soulful House Mix) by DJ Spivey,https://www.youtube.com/watch?v=q2t4CeRLnBQ,q2t4CeRLnBQ,DJ Spivey
Best of Mr Fingers aka Larry Heard Dj Live Sep14 1991 (2),https://www.youtube.com/watch?v=2-mnCWNGnco,2-mnCWNGnco,Nohashi Records
Larry Heard special Gilles Peterson  BBC Radio 6 Music [2018-07-07],https://www.youtube.com/watch?v=M1FsDF8M2Oo,M1FsDF8M2Oo,Lucas Music
Larry Heard - Techno-Centric,https://www.youtube.com/watch?v=TgiCUZibgHQ,TgiCUZibgHQ,Garden Radio
Larry Heard - Techno-Centric,https://www.youtube.com/watch?v=xI7yRvIvp3E,xI7yRvIvp3E,Scubadevils
MAMP Ep 142 Larry Heard Original Classics Pt 1 (Mr Fingers Mr White Loosefingers  More),https://www.youtube.com/watch?v=uSspI1BJroI,uSspI1BJroI,Mark Anthony's Music Picks
basiC realitieS - Desert Valley (Gherkin Jerks aka Larry Heard Tribute Mix II) [VIBR023],https://www.youtube.com/watch?v=7ep_BvevmnI,7ep_BvevmnI,Electronic Love Collective
Larry Heard - Missing You (Instrumental Mix),https://www.youtube.com/watch?v=5A9h9jOe8NI,5A9h9jOe8NI,soundcorporative
Larry Heard Praise,https://www.youtube.com/watch?v=1qD-tpmN3K4,1qD-tpmN3K4,estimulo101
Moodymanc Black Paint (Larry Heards After Dark Mix),https://www.youtube.com/watch?v=7u1TJ-52ldY,7u1TJ-52ldY,Tsuba Records
Larry Heard - Tryblennasense,https://www.youtube.com/watch?v=8Db5aM2CkRQ,8Db5aM2CkRQ,Garden Radio
Island Talks 001 Larry Heard,https://www.youtube.com/watch?v=US74opPlgS8,US74opPlgS8,Katamama
Larry Heard Interview (Mr Fingers),https://www.youtube.com/watch?v=1ppqTPcTYHg,1ppqTPcTYHg,Dreaming Live
Larry Heard - Praise (GUs Thank You Mix),https://www.youtube.com/watch?v=z0cxFCR-XrI,z0cxFCR-XrI,4theloveofhousemuzik
Larry Heard - Missing You (Mannmademusic Revisited mix) (Freebie),https://www.youtube.com/watch?v=vZmYoA8z8TM,vZmYoA8z8TM,HOD Daily
Best of Larry Heard Dj liveSankeys Manchester UK 1996 (1),https://www.youtube.com/watch?v=4OXaTi16dB8,4OXaTi16dB8,Nohashi Records
Larry Heard - Free,https://www.youtube.com/watch?v=tmrvSFp74MI,tmrvSFp74MI,luudo
(VA) Afterdark - Chicago - Larry Heard - Theme From Guidance,https://www.youtube.com/watch?v=NUbxlLRbEes,NUbxlLRbEes,XtremEthan
Larry Heard  Black Oceans,https://www.youtube.com/watch?v=Nz0LUOkUk8I,Nz0LUOkUk8I,MyHouse Channel
(VA) Do You Know House Vol 1 - Club Ice - Manhasset (Larry Heard Mix),https://www.youtube.com/watch?v=EfYtrdLPvmw,EfYtrdLPvmw,XtremEthan
Disney Bedtime Sleeping Piano Music Collection 247,https://www.youtube.com/watch?v=JU8qWkTkLLE,JU8qWkTkLLE,kno Music
Larry Heard interview with Charlie Bones July 2019,https://www.youtube.com/watch?v=J4yMTS7snEM,J4yMTS7snEM,HOUSEWARMING
Larry Heard - Another Night,https://www.youtube.com/watch?v=5nmPnXiE-fM,5nmPnXiE-fM,Hedgehog Underground: The Old School Zone
Larry Heard - And So I Dance (Anthony Nicholsons And So I Rhumba Mix),https://www.youtube.com/watch?v=ievT3ebZZNM,ievT3ebZZNM,diskoblastick
Praise to the Vibes feat Nicole Wray,https://www.youtube.com/watch?v=6HpdIc63nPM,6HpdIc63nPM,Mr. Fingers - Topic
Sao Paulo,https://www.youtube.com/watch?v=pt-kdCb9iyk,pt-kdCb9iyk,Mr. Fingers - Topic
Aether,https://www.youtube.com/watch?v=IDuMkzspj5s,IDuMkzspj5s,Mr. Fingers - Topic
Mr Fingers - Aether (B2 on Outer Acid EP),https://www.youtube.com/watch?v=PVCB34uAqPU,PVCB34uAqPU,deepeightyeight
Full Moon,https://www.youtube.com/watch?v=wDI-iYdqeNo,wDI-iYdqeNo,Mr. Fingers - Topic
Mr Fingers - Cerebral Hemispheres [Full Album],https://www.youtube.com/watch?v=j4Yf-vChaW0,j4Yf-vChaW0,Sound Station Strategy
Empty,https://www.youtube.com/watch?v=ARKpzOVOpyM,ARKpzOVOpyM,Mr. Fingers - Topic
